"Date","Open","High","Low","Close","Volume"
"5/18/2010","373","373","363.149994","367.549988","3199180"
"5/19/2010","365","366.5","358.149994","360.75","3929266"
"5/20/2010","364.5","366.149994","358.075012","365","2398092"
"5/21/2010","355","362.950012","342.625","359.350006","2675092"
"5/24/2010","362.5","365","356.350006","358.799988","2885428"
"5/25/2010","354","357","345.774994","349.774994","2297366"
"5/26/2010","354","372.399994","352.049988","369","3689464"
"5/27/2010","367.5","374.975006","363.600006","370.924988","6883872"
"5/28/2010","374.899994","376.75","367.75","375.399994","2479374"
"5/31/2010","374.25","376.450012","369","371.524994","3327660"
"6/1/2010","371.524994","375.975006","367.350006","369.600006","3136912"
"6/2/2010","368.899994","379.75","368.149994","377.125","2769330"
"6/3/2010","380","384.5","372.549988","382.725006","1684434"
"6/4/2010","382.725006","384.850006","377.600006","382.674988","1368210"
"6/7/2010","374.950012","378.899994","368","376.625","1734922"
"6/8/2010","377","381","373.5","375.100006","2242222"
"6/9/2010","376","379.274994","365.5","366.524994","4867400"
"6/10/2010","365","376.5","365","375.25","1796036"
"6/11/2010","380.899994","381.649994","375.5","379.549988","3237024"
"6/14/2010","381.674988","393.549988","379","390.5","3550492"
"6/15/2010","378.325012","388.850006","378.325012","383.049988","2642976"
"6/16/2010","388.549988","389.975006","383.649994","387.399994","2328816"
"6/17/2010","388.5","392.399994","381.850006","387.649994","1528920"
"6/18/2010","387.649994","394.450012","386.125","391.600006","2225672"
"6/21/2010","396.450012","397","392.299988","393.850006","1907428"
"6/22/2010","392.5","393.25","386.649994","389.325012","1468324"
"6/23/2010","385","394.475006","384.924988","393.149994","2959524"
"6/24/2010","393.149994","394.25","383.850006","386.725006","3777510"
"6/25/2010","387.899994","387.899994","378.049988","379.25","2037322"
"6/28/2010","379.225006","383.575012","378.799988","382.375","1153124"
"6/29/2010","382.5","382.5","374.5","376.899994","2614662"
"6/30/2010","377.5","379.950012","370.625","375.5","3316516"
"7/1/2010","375","375","362.875","366","3407744"
"7/2/2010","367.399994","373","365.424988","371.899994","2943550"
"7/5/2010","374.399994","374.450012","368.549988","369.5","2165596"
"7/6/2010","368.25","380.950012","367.924988","379.575012","2760904"
"7/7/2010","380.700012","383.700012","374.475006","382.299988","2152934"
"7/8/2010","386","389.5","384.825012","388.399994","2187564"
"7/9/2010","390","392","385.375","387.225006","1836666"
"7/12/2010","389.899994","397","389.899994","395.850006","2725776"
"7/13/2010","396","396","384.774994","387.325012","5545886"
